"NOMBRE DE ALBUM UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO INSPIRACIÓN INSPIRACIÓN INSPIRACIÓN INSPIRACIÓN INSPIRACIÓN INSPIRACIÓN POR SUS LLAGAS POR SUS LLAGAS POR SUS LLAGAS","URL IMAGEN https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg","TÍTULO DE CANCIÓN EL SUEÑO DE JOSE EL SÍ DE MARÍA UNA TRAVESÍA TRANQUILA LA NOCHE ROTA EN UN HUMILDE PESEBRE MI OFRENDA REAL EMMANUEL CON AMOR ETERNO SALMO 1 CRUZANDO EL MAR DIOS ES AMOR EL ECO RESPONDIÓ EN LA CIMA CONTIGO AMOR INCOMPARABLE ERES JIREH LA ROCA QUE ME SOSTIENE","URL CANCIÓN https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357562/ggemhfn0tararn06ghxk.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357513/bm03vfa6jhy7kfevv8yn.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357613/zaewdj4uocvax3sud4c1.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357743/gnk8avqa1owspzv7bjlx.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357699/q0accmyiyvdeesolkpx0.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357850/gkbcwtl2bsefavkamsh0.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357891/xdw0lzbsj1hvbteair1v.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764633690/mcqvenfzber5iedq1osm.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764640939/faqs3uvmelm1g7ptoupk.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685514/iqctfam1szx1ng4vaakk.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685538/r9kyfzxutxciexbfu3up.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685562/ud1il56d3nfjrybo1qg1.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685586/cuyodioojtfxhoh3u3yd.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685613/ntugygokigqkjcjisrem.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761450/uhuyl9o2j7mn8tqmrotn.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761496/dtwrgbjgvy5fdsaggvub.mp3","Status Done Done Done Done Done Done done Done Done Done Done Done Done Done Done Done","YouTube ID qg9V2SbBQp4 8jNFdAtNPiE B4VEalHQ5Jw 7YEw6FEGGq0 41UdSFmrvJs HAfyQxY3h0A sen3q-Zu4gc xKp0Ltwhia0 NYaHX9gsfMk BpwUpCXH_DM NCIfr5Na3AA 8BHgsYmWNSA MxcJnlHpv4M K4HcfuL7Wxs ZkOFTupvrjc a9pMfIf83Fs","Playlist ID ",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","A DONDE HUIRÉ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766006309/A_Do%CC%81nde_Huire%CC%81_mvkoxi.mp3","Done","Ulww6jUPbt8","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","A DONDE HUIRE v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766006310/A_Do%CC%81nde_Huire%CC%81_v2_mrvpfs.mp3","Done","U-IpLQv2deE","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","TORRE FUERTE","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766323142/Torre_Fuerte_c7qjvd.mp3","Done","zuMOFS6LhT8","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","NO DORMIRÁ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766330342/No_Dormira%CC%81_v5kbsz.mp3","Done","AcheLB5-jLA","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","BAJO TUS ALAS","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766337013/Bajo_tus_Alas_rajwkr.mp3","Done","f_RErXwUCiU","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","REFUGIO ETERNO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766337313/Refugio_Eterno_v1fkk0.mp3","Done","","",""
"SENDAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766421222/sendas_portada_upbxvx.jpg","SILENCIO EN LA ROCA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766337666/Silencio_en_la_Roca_twcrvm.mp3","Done","MrV6DOdYmXw","",""
"SENDAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766421222/sendas_portada_upbxvx.jpg","RAÍCES EN EL RÍO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766340614/Rai%CC%81ces_en_el_Ri%CC%81o._nttoaw.mp3","Done","pm9ciJZ2q2g","",""
"SENDAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766421222/sendas_portada_upbxvx.jpg","EL VIENTO Y LA NADA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766349739/El_Viento_Y_La_Nada_t0b2zc.mp3","Done","53gbpZhQcuI","",""
"SENDAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766421222/sendas_portada_upbxvx.jpg","PASOS DE FUEGO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766352756/Pasos_de_Fuego_rpuszo.mp3","Done","35pQ_dJ9uHE","",""
"SENDAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766421222/sendas_portada_upbxvx.jpg","ORO Y MIEL","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766361039/Oro_y_Miel_ga2v2q.mp3","Done","6a7FTrImIss","",""
"SENDAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766421222/sendas_portada_upbxvx.jpg","INQUEBRANTABLE","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766365196/Inquebrantable_raxf8q.mp3","Done","oRB-YX03YDc","",""
"SENDAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766421222/sendas_portada_upbxvx.jpg","AGUAS DE CALMA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766368359/Aguas_de_Calma_df83gm.mp3","Done","TmOOrEKmEsw","",""
"SENDAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766421222/sendas_portada_upbxvx.jpg","CASA DE PAZ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766418043/Casa_de_Paz_jjqgeu.mp3","Done","-84js15GgVo","",""
"SENDAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766421222/sendas_portada_upbxvx.jpg","DESDE LA ETERNIDAD","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766419143/Desde_la_Eternidad_ydh4ps.mp3","Done","bAGYletwXiQ","",""
"SENDAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766421222/sendas_portada_upbxvx.jpg","SENDA ETERNA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1766420566/Senda_Eterna_z8arku.mp3","Done","boJVonK8_P4","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","CIELO CLARO v1","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292234/CIELO_CLARO_ezwtaw.mp3","Done","yG66PQTzQcI","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","CIELO CLARO v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292243/CIELO_CLARO_v2_lbgmsa.mp3","Done","Syvp3RysMSI","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","MI INVIERNO ACABÓ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292259/MI_INVIERNO_ACABO%CC%81_fkom0l.mp3","Done","zWRRdM0LOWs","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","LUGAR SEGURO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292259/LUGAR_SEGURO_bktmk7.mp3","Done","azcylP9JpZg","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","INMENSA BONDAD v1","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292252/INMENSA_BONDAD_zqcvmb.mp3","Done","E06xXOzglck","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","INMENSA BONDAD v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292248/INMENSA_BONDAD_v2_gev808.mp3","Done","MZ4fRPaWz5g","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","CORAZÓN NUEVO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292245/CORAZO%CC%81N_NUEVO_vz1hfe.mp3","Done","AXjwvjRYJpA","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","CORAZÓN NUEVO v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292237/CORAZO%CC%81N_NUEVO_v2_kud8pn.mp3","Done","I8MXTQPuj9g","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","ABRE MIS LABIOS","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292243/ABRE_MIS_LABIOS_biluq4.mp3","Done","leOHDqKQ6Ig","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","ABRE MIS LABIOS v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292244/ABRE_MIS_LABIOS_v2_nuvg8n.mp3","Done","RBaHe1g6c3s","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","TENGO SED v1","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292258/TENGO_SED_uhb6ty.mp3","Done","pt5in7Z3Wk4","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","TENGO SED v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292258/TENGO_SED_v2_l5ufuu.mp3","Done","XQ-jUlvJ4u0","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","TU DIESTRA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292232/TU_DIESTRA_abzyhv.mp3","Done","zGV4qdddm8o","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","TU DIESTRA v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292264/TU_DIESTRA_v2_dqvzsw.mp3","Done","bmtD18W849Q","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","LABIOS DE JÚBILO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292251/LABIOS_DE_JU%CC%81BILO_gumfqz.mp3","Done","aAqpXCn3uOE","",""
"REGRESO A TI","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769291955/albumregresoati-ezgif.com-resize_m9jv3o.png","EL SALMO DE MI VIDA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1769292249/EL_SALMO_DE_MI_VIDA_p5rrrv.mp3","Done","eVlrs4UlwnE","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","AQUÍ SIGO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748055/AQUI%CC%81_SIGO_pjelnn.mp3","Done","PDewtcV4sns","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","ALUMBRA MIS OJOS","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748059/ALUMBRA_MIS_OJOS_ev45y7.mp3","Done","70i9yMipVag","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","TU BONDAD","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748056/TU_BONDAD_am8ua5.mp3","Done","NhM-rVoMnUY","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","EN TÍ CONFÍO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748055/EN_TI%CC%81_CONFI%CC%81O_ckwhza.mp3","Done","TYsHE1NX38M","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","NO FUE MI FUERZA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748056/NO_FUE_MI_FUERZA_ec56zv.mp3","Done","4jEvrYvtY9Y","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","TU BONDAD v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748059/TU_BONDAD_v2_q7x3q9.mp3","Done","5oGTR1bG8Zc","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","MI ROCA FIRME","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748056/MI_ROCA_FIRME_qsn6dx.mp3","Done","v8W9hu32SzU","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","EL CIELO SE ABRIÓ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774824923/El_Cielo_se_Abrio%CC%81_gjuypr.mp3","Done","AIJBaKAR3nU","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","TU BAJASTE","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748057/TU_BAJASTE_bzogmv.mp3","Done","8I1Fict1HPE","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","TU BAJASTE v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748057/TU_BAJASTE_v2_gnq8y5.mp3","Done","fBddwZVjLsc","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","LUGAR ESPACIOSO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748058/LUGAR_ESPACIOSO_ofgrf7.mp3","Done","Pk2Sd4iwx7A","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","LUGAR ESPACIOSO v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748058/LUGAR_ESPACIOSO_v2_tieh0f.mp3","Done","qmj8GVpkxmU","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","EL CAMINO DE LA LUZ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748059/EL_CAMINO_DE_LA_LUZ_ebionv.mp3","Done","p6EY9wES4Aw","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","PIES EN LAS ALTURAS","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748063/PIES_EN_LAS_ALTURAS_upokzx.mp3","Done","msZ4FwTzdAg","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","PIES EN LAS ALTURAS v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748063/PIES_EN_LAS_ALTURAS_v2_muwbkp.mp3","Done","Wd6QahxIkb0","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","VIVA EL SEÑOR","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748064/VIVA_EL_SEN%CC%83OR_r6fviz.mp3","Done","BlmtU-1QlKU","",""
"CAMINOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774748258/CAMINOS_DE_LUZ_gbyy8t.png","VIVA EL SEÑOR v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774748063/VIVA_EL_SEN%CC%83OR_v2_zo6etg.mp3","Done","nzZazR6LHdE","",""
"VUELO DE VICTORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774902989/Gemini_Generated_Image_6bdaco6bdaco6bda_k0587i.png","PELEA POR MÍ.","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774902991/Pelea_por_Mi%CC%81_dovqux.mp3","Done","0YsTC-Jj5b0","",""
"VUELO DE VICTORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774902989/Gemini_Generated_Image_6bdaco6bdaco6bda_k0587i.png","VIENTO Y SOMBRAS","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774902991/Viento_y_Sombras_u8trvz.mp3","Done","6MjlsU1bS-g","",""
"VUELO DE VICTORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774902989/Gemini_Generated_Image_6bdaco6bdaco6bda_k0587i.png","¿QUIÉN COMO TÚ?","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774902987/Quie%CC%81n_como_Tu%CC%81_uwg89n.mp3","Done","bywd7Ntsi0o","",""
"VUELO DE VICTORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774902989/Gemini_Generated_Image_6bdaco6bdaco6bda_k0587i.png","CAMINO DERECHO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774902987/Camino_Derecho_d3nklj.mp3","Done","lmodJrjI3ho","",""
"VUELO DE VICTORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774902989/Gemini_Generated_Image_6bdaco6bdaco6bda_k0587i.png","TU AMOR NO CALLARÁ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774902995/Tu_Amor_No_Callara%CC%81_rwhrdv.mp3","Done","9aYGqdsK7c4","",""
"VUELO DE VICTORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774902989/Gemini_Generated_Image_6bdaco6bdaco6bda_k0587i.png","GRANDE ES EL SEÑOR","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774902990/GRANDE_ES_EL_SEN%CC%83OR_naxdii.mp3","Done","wm_EtJMpHRw","",""
"VUELO DE VICTORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774902989/Gemini_Generated_Image_6bdaco6bdaco6bda_k0587i.png","ECO DE VICTORIA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774902991/Eco_de_Victoria_jyzufi.mp3","Done","6mAYMqio1ZQ","",""
"VUELO DE VICTORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774902989/Gemini_Generated_Image_6bdaco6bdaco6bda_k0587i.png","ECO DE VICTORIA v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774902987/Eco_de_Victoria_v2_euxonl.mp3","Done","kiD8OslJPSE","",""
"CUMBRE DE MAJESTAD","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774916299/Gemini_Generated_Image_1j9sfg1j9sfg1j9s_obcvk0.png","LEVÁNTATE","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774916122/Leva%CC%81ntate_u6p8gh.mp3","Done","roFC6e4b1wU","",""
"CUMBRE DE MAJESTAD","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774916299/Gemini_Generated_Image_1j9sfg1j9sfg1j9s_obcvk0.png","LEVÁNTATE v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774916122/Leva%CC%81ntate_v2_bjt1wd.mp3","Done","iA8o8jH0xFI","",""
"CUMBRE DE MAJESTAD","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774916299/Gemini_Generated_Image_1j9sfg1j9sfg1j9s_obcvk0.png","HOGAR EN TU PRESENCIA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774916138/Hogar_en_Tu_Presencia_lgfxpa.mp3","Done","1vVc41vicbk","",""
"CUMBRE DE MAJESTAD","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774916299/Gemini_Generated_Image_1j9sfg1j9sfg1j9s_obcvk0.png","HOGAR EN TU PRESENCIA v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774916125/Hogar_en_Tu_Presencia_v2_nemyyy.mp3","Done","E0SPmsUgWCk","",""
"CUMBRE DE MAJESTAD","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774916299/Gemini_Generated_Image_1j9sfg1j9sfg1j9s_obcvk0.png","BUENAS NUEVAS","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774916123/Buenas_Nuevas_xufujo.mp3","Done","pzIOYmpAVEo","",""
"CUMBRE DE MAJESTAD","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774916299/Gemini_Generated_Image_1j9sfg1j9sfg1j9s_obcvk0.png","EL MONTE SAGRADO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774916125/El_Monte_Sagrado_syfdad.mp3","Done","iM9WLBatvGc","",""
"CUMBRE DE MAJESTAD","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774916299/Gemini_Generated_Image_1j9sfg1j9sfg1j9s_obcvk0.png","PUERTA DE ESCAPE","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774916125/Puerta_de_Escape_flaazo.mp3","Done","UFZ1Yt7JR-w","",""
"CUMBRE DE MAJESTAD","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774916299/Gemini_Generated_Image_1j9sfg1j9sfg1j9s_obcvk0.png","REINOS DE LA TIERRA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774916127/Reinos_de_la_Tierra_pfpfol.mp3","Done","hZzpNElmZOw","",""
"CUMBRE DE MAJESTAD","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774916299/Gemini_Generated_Image_1j9sfg1j9sfg1j9s_obcvk0.png","REINOS DE LA TIERRA v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774916123/Reinos_de_la_Tierra_v2_unqj6o.mp3","Done","7LO_lToHAII","",""
"CUMBRE DE MAJESTAD","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774916299/Gemini_Generated_Image_1j9sfg1j9sfg1j9s_obcvk0.png","CUMBRE DE MAJESTAD","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774916125/Cumbre_de_Majestad_tp3mv0.mp3","Done","ZbW4czPTFs8","",""
"CUMBRE DE MAJESTAD","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774916299/Gemini_Generated_Image_1j9sfg1j9sfg1j9s_obcvk0.png","CUMBRE DE MAJESTAD v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774916125/Cumbre_de_Majestad_v2_faosbc.mp3","Done","6TeA-ziUSHI","",""
"ROCA Y ESCUDO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774979350/Gemini_Generated_Image_gdtihngdtihngdti_sdtsxu.png","MIS MANOS PARA LA GUERRA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774979357/Mis_Manos_para_la_Guerra_plugvw.mp3","Done","GdTZboNikjw","",""
"ROCA Y ESCUDO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774979350/Gemini_Generated_Image_gdtihngdtihngdti_sdtsxu.png","MIS MANOS PARA LA GUERRA v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774979349/Mis_Manos_para_la_Guerra_v2_rofzjo.mp3","Done","3P5L2EBQHKI","",""
"ROCA Y ESCUDO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774979350/Gemini_Generated_Image_gdtihngdtihngdti_sdtsxu.png","¿QUE ES EL HOMBRE?","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774979357/Que%CC%81_es_el_Hombre__mlsx5u.mp3","Done","KZ0VUyG-aIk","",""
"ROCA Y ESCUDO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774979350/Gemini_Generated_Image_gdtihngdtihngdti_sdtsxu.png","¿QUE ES EL HOMBRE? v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774979362/Que%CC%81_es_el_Hombre__v2_cfm1rr.mp3","Done","kQDKIvcXiRk","",""
"ROCA Y ESCUDO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1774979350/Gemini_Generated_Image_gdtihngdtihngdti_sdtsxu.png","TOCA LOS MONTES","https://res.cloudinary.com/dveqs8f3n/video/upload/v1774979350/Toca_los_Montes_lng7nr.mp3","Done","51cSMyKd9_k","",""
